Feature,Importance,Cumulative
Fwd Packet Length Max,0.13527253467823874,0.13527253467823874
Total Length of Fwd Packets,0.10974847506151253,0.24502100973975127
Fwd Packet Length Mean,0.1041495069671911,0.3491705167069424
act_data_pkt_fwd,0.09721405847388,0.44638457518082236
Bwd Packet Length Min,0.08275482340361971,0.529139398584442
Destination Port,0.07453733117294972,0.6036767297573917
Total Fwd Packets,0.06335737532788326,0.6670341050852749
Fwd IAT Mean,0.04424852877256136,0.7112826338578363
Init_Win_bytes_forward,0.03925420649863488,0.7505368403564712
Flow IAT Std,0.027756176183983922,0.7782930165404551
Bwd Packet Length Max,0.023392085427145454,0.8016851019676006
Init_Win_bytes_backward,0.02287733565874095,0.8245624376263415
Bwd IAT Std,0.02148494809760041,0.8460473857239419
Fwd Packet Length Min,0.019616675712732238,0.8656640614366742
Bwd IAT Mean,0.019501012712237153,0.8851650741489113
Bwd IAT Total,0.0184885519625564,0.9036536261114677
Bwd Packets/s,0.01619914169008722,0.9198527678015549
Packet Length Mean,0.013744213125522589,0.9335969809270774
Packet Length Variance,0.012672471251869957,0.9462694521789474
Max Packet Length,0.01149880873352166,0.9577682609124691
Flow Duration,0.011435237003197537,0.9692034979156666
Fwd IAT Min,0.008248195671064202,0.9774516935867308
min_seg_size_forward,0.0068816230302055645,0.9843333166169363
Flow Packets/s,0.003412717850797167,0.9877460344677336
Flow IAT Mean,0.00304862815678973,0.9907946626245233
URG Flag Count,0.0026177308660012295,0.9934123934905246
Flow IAT Min,0.0016561208873963323,0.9950685143779209
Flow Bytes/s,0.0012605123753688923,0.9963290267532897
Min Packet Length,0.001194186621775233,0.997523213375065
PSH Flag Count,0.0008933425058685218,0.9984165558809335
Down/Up Ratio,0.0005627844660653907,0.9989793403469989
Active Std,0.000513731234549753,0.9994930715815487
Bwd IAT Min,0.00016109687889574297,0.9996541684604444
FIN Flag Count,9.728605566471834e-05,0.9997514545161091
Idle Min,8.36887460432167e-05,0.9998351432621524
Idle Mean,7.3053336577434e-05,0.9999081965987299
Active Mean,3.082694493085445e-05,0.9999390235436607
Active Max,2.3926897334182793e-05,0.9999629504409949
ACK Flag Count,2.1995144207086138e-05,0.999984945585202
Fwd PSH Flags,9.270177090790172e-06,0.9999942157622927
Idle Std,5.784237707251923e-06,1.0
RST Flag Count,0.0,1.0
